Month,StTime,FinTime,Consumption
10,1395,1409,0.05
10,1410,1424,0.05
10,1425,1439,0.05
11,0,14,0.06
11,15,29,0.06
11,30,44,0.06
11,45,59,0.06
11,60,74,0.04
11,75,89,0.04
11,90,104,0.04
11,105,119,0.04
11,120,134,0.03
11,135,149,0.03
11,150,164,0.03
11,165,179,0.03
11,180,194,0.04
11,195,209,0.04
11,210,224,0.04
11,225,239,0.04
11,240,254,0.04
11,255,269,0.04
11,270,284,0.04
11,285,299,0.04
11,300,314,0.03
11,315,329,0.03
11,330,344,0.03
11,345,359,0.03
11,360,374,0.06
11,375,389,0.06
11,390,404,0.06
11,405,419,0.06
11,420,434,0.03
11,435,449,0.03
11,450,464,0.03
11,465,479,0.03
11,480,494,0.16
11,495,509,0.16
11,510,524,0.16
11,525,539,0.16
11,540,554,0.05
11,555,569,0.05
11,570,584,0.05
11,585,599,0.05
11,600,614,0.06
11,615,629,0.06
11,630,644,0.06
11,645,659,0.06
11,660,674,0.09
11,675,689,0.09
11,690,704,0.09
11,705,719,0.09
11,720,734,0.05
11,735,749,0.05
11,750,764,0.05
11,765,779,0.05
11,780,794,0.02
11,795,809,0.02
11,810,824,0.02
11,825,839,0.02
11,840,854,0.03
11,855,869,0.03
11,870,884,0.03
11,885,899,0.03
11,900,914,0.03
11,915,929,0.03
11,930,944,0.03
11,945,959,0.03
11,960,974,0.02
11,975,989,0.02
11,990,1004,0.02
11,1005,1019,0.02
11,1020,1034,0.1
11,1035,1049,0.1
11,1050,1064,0.1
11,1065,1079,0.1
11,1080,1094,0.1
11,1095,1109,0.1
11,1110,1124,0.1
11,1125,1139,0.1
11,1140,1154,0.12
11,1155,1169,0.12
11,1170,1184,0.12
11,1185,1199,0.12
11,1200,1214,0.75
11,1215,1229,0.75
11,1230,1244,0.75
11,1245,1259,0.75
11,1260,1274,0.36
11,1275,1289,0.36
11,1290,1304,0.36
11,1305,1319,0.36
11,1320,1334,0.35
11,1335,1349,0.35
11,1350,1364,0.35
11,1365,1379,0.35
11,1380,1394,0.24
11,1395,1409,0.24
11,1410,1424,0.24
11,1425,1439,0.24
11,0,14,0.24
11,15,29,0.24
11,30,44,0.24
11,45,59,0.24
11,60,74,0.25
11,75,89,0.25
11,90,104,0.25
11,105,119,0.25
11,120,134,0.25
11,135,149,0.25
11,150,164,0.25
11,165,179,0.25
11,180,194,0.33
11,195,209,0.33
11,210,224,0.33
11,225,239,0.33
11,240,254,0.25
11,255,269,0.25
11,270,284,0.25
11,285,299,0.25
11,300,314,0.24
11,315,329,0.24
11,330,344,0.24
11,345,359,0.24
11,360,374,0.33
11,375,389,0.33
11,390,404,0.33
11,405,419,0.33
11,420,434,0.56
11,435,449,0.56
11,450,464,0.56
11,465,479,0.56
11,480,494,0.1
11,495,509,0.1
11,510,524,0.1
11,525,539,0.1
11,540,554,0.12
11,555,569,0.12
11,570,584,0.12
11,585,599,0.12
11,600,614,0.03
11,615,629,0.03
